Created Date,Closed Date,Borough,Descriptor,Complaint Type,Agency,Longitude,Latitude,Status,processing_time,start_time_window
01/01/2016 12:23:13 AM,01/07/2016 07:25:52 AM,BRONX,Stop,Street Sign - Damaged,DOT,-73.85735241137306,40.80690105131865,Closed,6 days 07:02:39.000000000,0
01/01/2016 12:23:16 AM,01/01/2016 03:56:42 PM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.94929384671877,40.613906120715114,Closed,0 days 15:33:26.000000000,0
01/01/2016 12:23:30 AM,01/01/2016 02:16:53 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.89767742642722,40.89521910418264,Closed,0 days 01:53:23.000000000,0
01/01/2016 12:23:34 AM,01/01/2016 03:08:14 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.94587075124466,40.75775252042648,Closed,0 days 02:44:40.000000000,0
01/01/2016 12:24:02 AM,01/01/2016 03:57:49 PM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.96200131721993,40.6133510859211,Closed,0 days 15:33:47.000000000,0
01/01/2016 12:24:50 AM,01/01/2016 02:09:46 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.98335001299293,40.69598780020449,Closed,0 days 01:44:56.000000000,0
01/01/2016 12:24:50 AM,01/04/2016 09:25:00 AM,MANHATTAN,Pothole,Street Condition,DOT,-73.94410191214415,40.792335375421096,Closed,3 days 09:00:10.000000000,0
01/01/2016 12:24:56 AM,01/01/2016 01:30:52 AM,BRONX,Banging/Pounding,Noise - Residential,NYPD,-73.89680027435357,40.89639579249236,Closed,0 days 01:05:56.000000000,0
01/01/2016 12:25:01 AM,01/01/2016 12:55:16 AM,MANHATTAN,Loud Music/Party,Noise - Residential,NYPD,-73.93129377746679,40.85718061604711,Closed,0 days 00:30:15.000000000,0
01/01/2016 12:25:19 AM,01/01/2016 12:59:36 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.90503366264404,40.74643145366832,Closed,0 days 00:34:17.000000000,0
01/01/2016 12:25:29 AM,01/01/2016 02:37:22 AM,BROOKLYN,Banging/Pounding,Noise - Residential,NYPD,-73.95160427864542,40.67617804732017,Closed,0 days 02:11:53.000000000,0
01/01/2016 12:25:41 AM,01/01/2016 01:42:58 AM,MANHATTAN,Loud Music/Party,Noise - Residential,NYPD,-73.95122017445401,40.821792243683134,Closed,0 days 01:17:17.000000000,0
01/01/2016 12:25:49 AM,01/01/2016 03:11:37 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.93863080487138,40.611847816119656,Closed,0 days 02:45:48.000000000,0
01/01/2016 12:26:02 AM,01/01/2016 12:54:08 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.94119528888764,40.713974151621706,Closed,0 days 00:28:06.000000000,0
01/01/2016 12:26:04 AM,01/01/2016 01:23:35 AM,BROOKLYN,No Access,Blocked Driveway,NYPD,-74.00713430586326,40.6395479310394,Closed,0 days 00:57:31.000000000,0
01/01/2016 12:26:05 AM,01/01/2016 03:13:58 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.81123174841919,40.670420293651155,Closed,0 days 02:47:53.000000000,0
01/01/2016 12:26:21 AM,01/01/2016 01:54:00 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.93022276184784,40.66515776570642,Closed,0 days 01:27:39.000000000,0
01/01/2016 12:26:29 AM,01/01/2016 02:41:52 AM,BROOKLYN,Loud Music/Party,Noise - Commercial,NYPD,-73.95921588689447,40.73332151143353,Closed,0 days 02:15:23.000000000,0
01/01/2016 12:26:57 AM,01/01/2016 01:52:51 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.74860536859191,40.60035753451856,Closed,0 days 01:25:54.000000000,0
01/01/2016 12:27:00 AM,01/01/2016 02:35:02 AM,BROOKLYN,Loud Music/Party,Noise - Street/Sidewalk,NYPD,-73.94023853778344,40.67467954738913,Closed,0 days 02:08:02.000000000,0
